wavenumber,P88812Cl,P88812NO3,NaNO3
3349,84.96,91.38,106.85
3348,84.98,91.43,106.83
3347,84.97,91.4,106.82
3346,84.93,91.4,106.85
3345,84.92,91.39,106.83
3344,84.93,91.38,106.81
3343,84.95,91.4,106.84
3342,84.95,91.4,106.86
3341,84.94,91.4,106.85
3340,84.94,91.4,106.82
3339,84.95,91.43,106.8
3338,84.95,91.43,106.8
3337,84.95,91.41,106.83
3336,84.92,91.4,106.85
3335,84.93,91.42,106.84
3334,84.92,91.42,106.86
3333,84.92,91.42,106.88
3332,84.91,91.41,106.88
3331,84.89,91.38,106.9
3330,84.93,91.45,106.88
3329,84.91,91.45,106.87
3328,84.9,91.43,106.85
3327,84.9,91.41,106.82
3326,84.89,91.42,106.84
3325,84.89,91.45,106.9
3324,84.88,91.43,106.87
3323,84.87,91.41,106.89
3322,84.89,91.43,106.89
3321,84.9,91.46,106.9
3320,84.89,91.42,106.9
3319,84.85,91.41,106.88
3318,84.88,91.44,106.9
3317,84.85,91.42,106.89
3316,84.86,91.42,106.88
3315,84.84,91.43,106.89
3314,84.86,91.43,106.89
3313,84.84,91.44,106.88
3312,84.86,91.46,106.86
3311,84.87,91.47,106.86
3310,84.88,91.46,106.86
3309,84.86,91.49,106.87
3308,84.85,91.44,106.86
3307,84.86,91.46,106.87
3306,84.85,91.46,106.89
3305,84.82,91.45,106.89
3304,84.83,91.44,106.93
3303,84.81,91.44,106.93
3302,84.81,91.44,106.92
3301,84.83,91.46,106.91
3300,84.8,91.44,106.92
3299,84.84,91.44,106.91
3298,84.83,91.46,106.89
3297,84.85,91.49,106.89
3296,84.83,91.47,106.92
3295,84.81,91.47,106.94
3294,84.82,91.45,106.92
3293,84.81,91.47,106.89
3292,84.81,91.47,106.93
3291,84.8,91.47,106.95
3290,84.84,91.46,106.96
3289,84.83,91.49,106.94
3288,84.8,91.45,106.95
3287,84.82,91.44,106.96
3286,84.8,91.44,106.95
3285,84.82,91.5,106.96
3284,84.82,91.49,106.96
3283,84.84,91.46,106.94
3282,84.83,91.46,106.93
3281,84.82,91.48,106.97
3280,84.82,91.48,106.97
3279,84.81,91.46,106.96
3278,84.84,91.49,106.98
3277,84.86,91.5,106.93
3276,84.89,91.51,106.91
3275,84.85,91.49,106.97
3274,84.85,91.49,106.92
3273,84.87,91.49,106.91
3272,84.88,91.52,106.91
3271,84.87,91.49,106.97
3270,84.86,91.47,106.95
3269,84.86,91.46,107
3268,84.88,91.49,106.98
3267,84.89,91.5,106.99
3266,84.91,91.49,107.02
3265,84.9,91.49,106.99
3264,84.9,91.51,107.01
3263,84.9,91.48,106.98
3262,84.92,91.5,106.99
3261,84.9,91.48,106.99
3260,84.93,91.5,106.98
3259,84.96,91.51,107
3258,84.95,91.49,106.99
3257,84.98,91.51,106.98
3256,84.97,91.52,106.99
3255,84.97,91.51,106.98
3254,84.99,91.51,106.99
3253,85,91.5,107
3252,84.99,91.51,107.01
3251,85.01,91.5,107.02
3250,85,91.5,107
3249,85.02,91.51,106.97
3248,85.04,91.5,106.98
3247,85.08,91.53,106.98
3246,85.07,91.54,107.02
3245,85.07,91.53,107
3244,85.09,91.5,107.02
3243,85.08,91.49,107.03
3242,85.09,91.52,107.02
3241,85.11,91.51,107.02
3240,85.13,91.5,107.03
3239,85.14,91.52,107.01
3238,85.16,91.53,107.02
3237,85.16,91.51,107.01
3236,85.17,91.5,107
3235,85.18,91.51,107.01
3234,85.18,91.52,107.03
3233,85.2,91.51,107.01
3232,85.19,91.5,107.03
3231,85.22,91.52,107.03
3230,85.22,91.51,107
3229,85.22,91.51,107.06
3228,85.22,91.51,107.05
3227,85.24,91.52,107.04
3226,85.24,91.5,107.04
3225,85.25,91.5,107.07
3224,85.23,91.51,107.06
3223,85.25,91.49,107.05
3222,85.25,91.51,107.04
3221,85.26,91.52,107.07
3220,85.27,91.55,107.05
3219,85.24,91.5,107.07
3218,85.24,91.49,107.08
3217,85.25,91.52,107.06
3216,85.26,91.5,107.04
3215,85.26,91.5,107.06
3214,85.27,91.52,107.06
3213,85.22,91.48,107.08
3212,85.24,91.49,107.06
3211,85.22,91.49,107.07
3210,85.21,91.51,107.1
3209,85.19,91.5,107.07
3208,85.19,91.48,107.07
3207,85.19,91.51,107.08
3206,85.18,91.5,107.1
3205,85.17,91.5,107.1
3204,85.14,91.48,107.07
3203,85.14,91.5,107.09
3202,85.14,91.51,107.13
3201,85.11,91.47,107.12
3200,85.1,91.5,107.1
3199,85.12,91.5,107.09
3198,85.09,91.49,107.09
3197,85.07,91.48,107.1
3196,85.04,91.48,107.12
3195,85.07,91.48,107.12
3194,85.05,91.48,107.1
3193,85.05,91.5,107.11
3192,85.03,91.49,107.11
3191,85.04,91.5,107.13
3190,85.04,91.51,107.12
3189,85.02,91.52,107.13
3188,85.03,91.5,107.13
3187,85.01,91.48,107.15
3186,85.02,91.51,107.12
3185,85.05,91.53,107.11
3184,85.03,91.5,107.12
3183,85.03,91.52,107.14
3182,85.03,91.52,107.11
3181,85.05,91.52,107.13
3180,85.08,91.55,107.14
3179,85.07,91.56,107.14
3178,85.07,91.53,107.12
3177,85.07,91.54,107.12
3176,85.1,91.56,107.17
3175,85.11,91.56,107.15
3174,85.12,91.55,107.15
3173,85.09,91.55,107.15
3172,85.12,91.56,107.15
3171,85.14,91.57,107.14
3170,85.14,91.56,107.17
3169,85.15,91.56,107.18
3168,85.16,91.57,107.14
3167,85.17,91.56,107.14
3166,85.16,91.59,107.15
3165,85.17,91.57,107.17
3164,85.21,91.59,107.18
3163,85.21,91.58,107.15
3162,85.23,91.59,107.16
3161,85.24,91.62,107.17
3160,85.22,91.59,107.15
3159,85.27,91.6,107.18
3158,85.27,91.62,107.15
3157,85.29,91.62,107.17
3156,85.28,91.61,107.15
3155,85.3,91.63,107.15
3154,85.32,91.66,107.13
3153,85.34,91.65,107.15
3152,85.33,91.63,107.19
3151,85.34,91.64,107.16
3150,85.35,91.63,107.17
3149,85.36,91.66,107.17
3148,85.37,91.65,107.17
3147,85.36,91.67,107.17
3146,85.37,91.66,107.18
3145,85.38,91.65,107.18
3144,85.39,91.68,107.18
3143,85.41,91.68,107.18
3142,85.43,91.68,107.18
3141,85.44,91.67,107.14
3140,85.44,91.69,107.17
3139,85.46,91.7,107.17
3138,85.46,91.7,107.19
3137,85.46,91.68,107.22
3136,85.46,91.69,107.23
3135,85.49,91.69,107.2
3134,85.49,91.71,107.21
3133,85.52,91.75,107.2
3132,85.53,91.71,107.18
3131,85.54,91.71,107.18
3130,85.52,91.7,107.21
3129,85.54,91.72,107.23
3128,85.55,91.73,107.21
3127,85.56,91.72,107.2
3126,85.56,91.73,107.22
3125,85.56,91.73,107.21
3124,85.6,91.75,107.2
3123,85.61,91.76,107.17
3122,85.62,91.77,107.18
3121,85.62,91.76,107.18
3120,85.64,91.78,107.17
3119,85.68,91.8,107.18
3118,85.65,91.77,107.18
3117,85.65,91.75,107.19
3116,85.66,91.79,107.2
3115,85.68,91.79,107.24
3114,85.64,91.76,107.23
3113,85.67,91.78,107.25
3112,85.68,91.78,107.23
3111,85.69,91.78,107.2
3110,85.7,91.8,107.2
3109,85.67,91.79,107.24
3108,85.71,91.79,107.25
3107,85.71,91.78,107.26
3106,85.71,91.8,107.26
3105,85.71,91.82,107.25
3104,85.74,91.79,107.27
3103,85.74,91.81,107.24
3102,85.75,91.82,107.2
3101,85.75,91.83,107.2
3100,85.77,91.84,107.24
3099,85.76,91.81,107.26
3098,85.78,91.83,107.25
3097,85.8,91.83,107.23
3096,85.8,91.85,107.25
3095,85.79,91.86,107.26
3094,85.8,91.83,107.26
3093,85.8,91.81,107.24
3092,85.82,91.86,107.26
3091,85.82,91.85,107.27
3090,85.84,91.86,107.25
3089,85.82,91.83,107.25
3088,85.82,91.84,107.25
3087,85.82,91.85,107.27
3086,85.85,91.83,107.25
3085,85.85,91.85,107.26
3084,85.85,91.85,107.28
3083,85.86,91.87,107.26
3082,85.89,91.89,107.24
3081,85.86,91.88,107.25
3080,85.88,91.87,107.24
3079,85.9,91.89,107.24
3078,85.9,91.87,107.27
3077,85.9,91.86,107.32
3076,85.89,91.85,107.32
3075,85.92,91.89,107.31
3074,85.91,91.88,107.3
